DBN,School Name,Number of Test Takers,Critical Reading Mean,Mathematics Mean,Writing Mean
01M450,East Side Community High School ,69,418,431,402
02M418,Millennium High School ,140,512,554,523
02M535,Park West High School ,None,None,None,None
17K531,SCHOOL FOR HUMAN RIGHTS ,21,357,391,343
19K431,"YOUNG ADULT BOROUGH CTR, THOMAS JEFFERS ",None,None,None,None
